App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Negative,Neutral,Positive,AVG_Pol,AVG_Sub,Last Updated Mois,Last Updated Jour,Last Updated Annee
Planner Pro-Personal Organizer,PRODUCTIVITY,4.0,10270.0,8601.6,1000000,Free,0.0,Everyone,Productivity,"March 23, 2018",0.0,0.0,0.0,0.0,0.0,March,23,2018
Plants vs. Zombies FREE,GAME,4.4,4067651.0,70656.0,100000000,Free,0.0,Everyone 10+,Strategy,"July 6, 2018",0.0,0.0,0.0,0.0,0.0,July,6,2018
Pocket Yoga,HEALTH_AND_FITNESS,4.4,2107.0,22032.55340623291,100000,Paid,2.99,Everyone,Health & Fitness,"December 22, 2015",0.0,0.0,0.0,0.0,0.0,December,22,2015
"Polaris Office - Word, Docs, Sheets, Slide, PDF",PRODUCTIVITY,4.3,549900.0,61440.0,10000000,Free,0.0,Everyone,Productivity,"July 18, 2018",0.0,0.0,0.0,0.0,0.0,July,18,2018
Poshmark - Buy & Sell Fashion,SHOPPING,4.3,46153.0,17408.0,10000000,Free,0.0,Everyone,Shopping,"August 4, 2018",0.0,0.0,0.0,0.0,0.0,August,4,2018
Postmates Food Delivery: Order Eats & Alcohol,FOOD_AND_DRINK,3.6,22875.0,22528.0,1000000,Free,0.0,Everyone,Food & Drink,"July 27, 2018",0.0,0.0,0.0,0.0,0.0,July,27,2018
"Priceline Hotel Deals, Rental Cars & Flights",TRAVEL_AND_LOCAL,4.4,48930.0,15360.0,5000000,Free,0.0,Everyone,Travel & Local,"July 26, 2018",0.0,0.0,0.0,0.0,0.0,July,26,2018
Puffin Web Browser,COMMUNICATION,4.3,541389.0,22032.55340623291,10000000,Free,0.0,Everyone,Communication,"July 9, 2018",0.0,0.0,0.0,0.0,0.0,July,9,2018
Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80805.0,22032.55340623291,5000000,Free,0.0,Everyone,Business,"February 26, 2018",0.0,0.0,0.0,0.0,0.0,February,26,2018
QuickBooks Accounting: Invoicing & Expenses,BUSINESS,4.3,23175.0,41984.0,1000000,Free,0.0,Everyone,Business,"July 13, 2018",0.0,0.0,0.0,0.0,0.0,July,13,2018
QuickPic - Photo Gallery with Google Drive Support,PHOTOGRAPHY,4.6,847159.0,4300.8,10000000,Free,0.0,Everyone,Photography,"November 10, 2017",0.0,0.0,0.0,0.0,0.0,November,10,2017
Quizlet: Learn Languages & Vocab with Flashcards,EDUCATION,4.6,211856.0,22032.55340623291,10000000,Free,0.0,Everyone,Education,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
RT 516 VET,MEDICAL,4.2,469993.8884224912,29696.0,10,Free,0.0,Everyone,Medical,"July 13, 2018",0.0,0.0,0.0,0.0,0.0,July,13,2018
Random Video Chat,DATING,4.0,3.0,16384.0,1000,Free,0.0,Mature 17+,Dating,"July 15, 2018",0.0,0.0,0.0,0.0,0.0,July,15,2018
Random Video Chat App With Strangers,DATING,4.0,3.0,4915.2,1000,Free,0.0,Mature 17+,Dating,"July 17, 2018",0.0,0.0,0.0,0.0,0.0,July,17,2018
Realtor.com Real Estate: Homes for Sale and Rent,HOUSE_AND_HOME,4.5,162243.0,12288.0,10000000,Free,0.0,Everyone,House & Home,"July 26, 2018",0.0,0.0,0.0,0.0,0.0,July,26,2018
Redfin Real Estate,HOUSE_AND_HOME,4.6,36857.0,19456.0,1000000,Free,0.0,Everyone,House & Home,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
Relax Meditation: Sleep with Sleep Sounds,HEALTH_AND_FITNESS,4.4,26540.0,44032.0,1000000,Free,0.0,Everyone,Health & Fitness,"February 9, 2017",0.0,0.0,0.0,0.0,0.0,February,9,2017
Relax Melodies: Sleep Sounds,HEALTH_AND_FITNESS,4.5,233243.0,22032.55340623291,5000000,Free,0.0,Everyone,Health & Fitness,"July 23, 2018",0.0,0.0,0.0,0.0,0.0,July,23,2018
"RetailMeNot - Coupons, Deals & Discount Shopping",SHOPPING,4.4,210208.0,22032.55340623291,10000000,Free,0.0,Everyone,Shopping,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
"Robinhood - Investing, No Fees",FINANCE,4.6,57493.0,22032.55340623291,1000000,Free,0.0,Everyone,Finance,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
Rosetta Stone: Learn to Speak & Read New Languages,EDUCATION,4.5,172508.0,77824.0,5000000,Free,0.0,Everyone,Education;Education,"June 27, 2018",0.0,0.0,0.0,0.0,0.0,June,27,2018
Run with Map My Run,HEALTH_AND_FITNESS,4.5,183669.0,58368.0,5000000,Free,0.0,Everyone,Health & Fitness,"July 27, 2018",0.0,0.0,0.0,0.0,0.0,July,27,2018
Runkeeper - GPS Track Run Walk,HEALTH_AND_FITNESS,4.5,501144.0,22032.55340623291,10000000,Free,0.0,Everyone,Health & Fitness,"July 16, 2018",0.0,0.0,0.0,0.0,0.0,July,16,2018
SHOWTIME,ENTERTAINMENT,4.2,12398.0,22032.55340623291,1000000,Free,0.0,Teen,Entertainment,"July 2, 2018",0.0,0.0,0.0,0.0,0.0,July,2,2018
STARZ,ENTERTAINMENT,4.3,88185.0,22032.55340623291,10000000,Free,0.0,Mature 17+,Entertainment,"June 20, 2018",0.0,0.0,0.0,0.0,0.0,June,20,2018
Sago Mini Babies,FAMILY,4.5,253.0,84992.0,10000,Paid,3.99,Everyone,Education;Pretend Play,"October 28, 2016",0.0,0.0,0.0,0.0,0.0,October,28,2016
Sago Mini Friends,FAMILY,4.4,13155.0,84992.0,1000000,Free,0.0,Everyone,Education;Pretend Play,"June 16, 2016",0.0,0.0,0.0,0.0,0.0,June,16,2016
"SayHi Chat, Meet New People",SOCIAL,4.2,423138.0,22032.55340623291,10000000,Free,0.0,Mature 17+,Social,"July 9, 2018",0.0,0.0,0.0,0.0,0.0,July,9,2018
Scarf Fashion Designer,LIFESTYLE,4.4,16637.0,10240.0,1000000,Free,0.0,Everyone,Lifestyle,"June 18, 2017",0.0,0.0,0.0,0.0,0.0,June,18,2017
School of Dragons,FAMILY,4.1,530792.0,22032.55340623291,10000000,Free,0.0,Everyone,Role Playing;Action & Adventure,"May 30, 2018",0.0,0.0,0.0,0.0,0.0,May,30,2018
Score! Hero,GAME,4.6,5419676.0,98304.0,100000000,Free,0.0,Everyone,Sports,"June 13, 2018",0.0,0.0,0.0,0.0,0.0,June,13,2018
ScriptSave WellRx Rx Discounts,MEDICAL,3.8,700.0,37888.0,100000,Free,0.0,Everyone,Medical,"June 21, 2018",0.0,0.0,0.0,0.0,0.0,June,21,2018
Seven - 7 Minute Workout Training Challenge,HEALTH_AND_FITNESS,4.5,75571.0,22032.55340623291,1000000,Free,0.0,Everyone,Health & Fitness,"August 3, 2018",0.0,0.0,0.0,0.0,0.0,August,3,2018
"Shopkick: Free Gift Cards, Shop Rewards & Deals",SHOPPING,4.3,213735.0,44032.0,10000000,Free,0.0,Everyone,Shopping,"July 24, 2018",0.0,0.0,0.0,0.0,0.0,July,24,2018
Shopkins World!,FAMILY,4.3,169609.0,34816.0,10000000,Free,0.0,Everyone,Arcade;Action & Adventure,"June 13, 2018",0.0,0.0,0.0,0.0,0.0,June,13,2018
"Shopular: Coupons, Weekly Ads & Shopping Deals",SHOPPING,4.7,57920.0,22032.55340623291,1000000,Free,0.0,Everyone,Shopping,"May 31, 2018",0.0,0.0,0.0,0.0,0.0,May,31,2018
"Shutterfly: Free Prints, Photo Books, Cards, Gifts",PHOTOGRAPHY,4.6,98716.0,60416.0,5000000,Free,0.0,Everyone,Photography,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
SignEasy | Sign and Fill PDF and other Documents,BUSINESS,4.3,8978.0,22032.55340623291,1000000,Free,0.0,Everyone,Business,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
Simple - Better Banking,FINANCE,4.4,7731.0,24576.0,100000,Free,0.0,Everyone,Finance,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
Simple Habit Meditation,HEALTH_AND_FITNESS,4.7,11689.0,20480.0,500000,Free,0.0,Everyone,Health & Fitness,"July 27, 2018",0.0,0.0,0.0,0.0,0.0,July,27,2018
Skype - free IM & video calls,COMMUNICATION,4.1,10484169.0,22032.55340623291,1000000000,Free,0.0,Everyone,Communication,"August 3, 2018",0.0,0.0,0.0,0.0,0.0,August,3,2018
Skyscanner,TRAVEL_AND_LOCAL,4.5,481546.0,29696.0,10000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",0.0,0.0,0.0,0.0,0.0,August,6,2018
Slack,BUSINESS,4.4,51507.0,22032.55340623291,5000000,Free,0.0,Everyone,Business,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
Slickdeals: Coupons & Shopping,SHOPPING,4.5,33583.0,12288.0,1000000,Free,0.0,Everyone,Shopping,"July 30, 2018",0.0,0.0,0.0,0.0,0.0,July,30,2018
SnipSnap Coupon App,SHOPPING,4.2,9975.0,18432.0,1000000,Free,0.0,Everyone,Shopping,"January 22, 2018",0.0,0.0,0.0,0.0,0.0,January,22,2018
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7672495.0,22032.55340623291,100000000,Free,0.0,Mature 17+,Action,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7674252.0,22032.55340623291,100000000,Free,0.0,Mature 17+,Action,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
Socratic - Math Answers & Homework Help,EDUCATION,4.6,37862.0,5529.6,1000000,Free,0.0,Everyone,Education,"June 7, 2018",0.0,0.0,0.0,0.0,0.0,June,7,2018
Sounds for Toddlers FREE,FAMILY,4.4,6190.0,23552.0,1000000,Free,0.0,Everyone,Educational;Education,"August 24, 2015",0.0,0.0,0.0,0.0,0.0,August,24,2015
Southwest Airlines,TRAVEL_AND_LOCAL,3.9,24781.0,8499.2,5000000,Free,0.0,Everyone,Travel & Local,"July 11, 2018",0.0,0.0,0.0,0.0,0.0,July,11,2018
Strawberry Shortcake BerryRush,FAMILY,4.3,525552.0,49152.0,10000000,Free,0.0,Everyone,Action;Action & Adventure,"October 15, 2017",0.0,0.0,0.0,0.0,0.0,October,15,2017
StyleSeat,LIFESTYLE,4.7,20304.0,24576.0,500000,Free,0.0,Everyone,Lifestyle,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
Subway Surfers,GAME,4.5,27725352.0,77824.0,1000000000,Free,0.0,Everyone 10+,Arcade,"July 12, 2018",0.0,0.0,0.0,0.0,0.0,July,12,2018
Sudy â€“ Meet Elite & Rich Single,DATING,4.1,17268.0,40960.0,500000,Free,0.0,Mature 17+,Dating,"June 25, 2018",0.0,0.0,0.0,0.0,0.0,June,25,2018
Super ABC! Learning games for kids! Preschool apps,FAMILY,4.6,20267.0,47104.0,1000000,Free,0.0,Everyone,Educational;Education,"July 16, 2018",0.0,0.0,0.0,0.0,0.0,July,16,2018
Super Hearing Super Ear Amplifier,MEDICAL,4.1,21.0,20480.0,1000,Free,0.0,Everyone,Medical,"June 11, 2018",0.0,0.0,0.0,0.0,0.0,June,11,2018
Sway Medical,MEDICAL,5.0,3.0,22528.0,100,Free,0.0,Everyone,Medical,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
TED,EDUCATION,4.6,181893.0,18432.0,10000000,Free,0.0,Everyone 10+,Education,"July 27, 2018",0.0,0.0,0.0,0.0,0.0,July,27,2018
TO-FU Oh!SUSHI,FAMILY,4.1,59917.0,94208.0,5000000,Free,0.0,Everyone,Education;Pretend Play,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
Talkray - Free Calls & Texts,COMMUNICATION,4.2,244863.0,22032.55340623291,10000000,Free,0.0,Everyone,Communication,"May 29, 2018",0.0,0.0,0.0,0.0,0.0,May,29,2018
Tango - Live Video Broadcast,SOCIAL,4.3,3806669.0,22032.55340623291,100000000,Free,0.0,Mature 17+,Social,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
Target - now with Cartwheel,SHOPPING,4.1,68406.0,24576.0,10000000,Free,0.0,Everyone,Shopping,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
Tee and Mo Bath Time Free,FAMILY,3.6,418.0,99328.0,100000,Free,0.0,Everyone,Educational;Education,"November 7, 2016",0.0,0.0,0.0,0.0,0.0,November,7,2016
Teladoc Member,MEDICAL,4.0,2094.0,23552.0,500000,Free,0.0,Everyone,Medical,"July 26, 2018",0.0,0.0,0.0,0.0,0.0,July,26,2018
Telemundo Now,ENTERTAINMENT,3.9,8674.0,19456.0,1000000,Free,0.0,Teen,Entertainment,"May 25, 2018",0.0,0.0,0.0,0.0,0.0,May,25,2018
Temple Run 2,GAME,4.3,8118937.0,63488.0,500000000,Free,0.0,Everyone,Action,"July 5, 2018",0.0,0.0,0.0,0.0,0.0,July,5,2018
Text Free: WiFi Calling App,SOCIAL,4.2,83488.0,22032.55340623291,5000000,Free,0.0,Everyone,Social,"July 24, 2018",0.0,0.0,0.0,0.0,0.0,July,24,2018
TextNow - free text + calls,SOCIAL,4.4,441189.0,22032.55340623291,10000000,Free,0.0,Everyone,Social,"August 3, 2018",0.0,0.0,0.0,0.0,0.0,August,3,2018
The CW,ENTERTAINMENT,4.4,288150.0,21504.0,5000000,Free,0.0,Teen,Entertainment,"July 23, 2018",0.0,0.0,0.0,0.0,0.0,July,23,2018
The Coupons App,SHOPPING,4.5,181990.0,22032.55340623291,10000000,Free,0.0,Everyone,Shopping,"April 27, 2018",0.0,0.0,0.0,0.0,0.0,April,27,2018
The Wall Street Journal: Business & Market News,NEWS_AND_MAGAZINES,4.1,40975.0,36864.0,1000000,Free,0.0,Everyone 10+,News & Magazines,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
Thomas & Friends: Race On!,FAMILY,4.1,29319.0,26624.0,5000000,Free,0.0,Everyone,Casual;Action & Adventure,"May 18, 2018",0.0,0.0,0.0,0.0,0.0,May,18,2018
"TickTick: To Do List with Reminder, Day Planner",PRODUCTIVITY,4.6,25370.0,22032.55340623291,1000000,Free,0.0,Everyone,Productivity,"August 6, 2018",0.0,0.0,0.0,0.0,0.0,August,6,2018
Tiny Scanner - PDF Scanner App,BUSINESS,4.7,286897.0,39936.0,10000000,Free,0.0,Everyone,Business,"May 30, 2017",0.0,0.0,0.0,0.0,0.0,May,30,2017
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295.0,39936.0,100000,Paid,4.99,Everyone,Business,"April 11, 2017",0.0,0.0,0.0,0.0,0.0,April,11,2017
To-Do Calendar Planner,PRODUCTIVITY,4.2,30291.0,22032.55340623291,1000000,Free,0.0,Everyone,Productivity,"May 29, 2018",0.0,0.0,0.0,0.0,0.0,May,29,2018
Todoist: To-do lists for task management & errands,PRODUCTIVITY,4.5,155999.0,12288.0,10000000,Free,0.0,Everyone,Productivity,"August 5, 2018",0.0,0.0,0.0,0.0,0.0,August,5,2018
Transenger â€“ Ts Dating and Chat for Free,DATING,3.6,8.0,14336.0,1000,Free,0.0,Mature 17+,Dating,"July 29, 2018",0.0,0.0,0.0,0.0,0.0,July,29,2018
TripAdvisor Hotels Flights Restaurants Attractions,TRAVEL_AND_LOCAL,4.4,1162837.0,22032.55340623291,100000000,Free,0.0,Everyone,Travel & Local,"August 4, 2018",0.0,0.0,0.0,0.0,0.0,August,4,2018
Trulia Real Estate & Rentals,HOUSE_AND_HOME,4.5,175293.0,22032.55340623291,10000000,Free,0.0,Everyone,House & Home,"July 24, 2018",0.0,0.0,0.0,0.0,0.0,July,24,2018
Tubi TV - Free Movies & TV,ENTERTAINMENT,4.3,296771.0,11264.0,10000000,Free,0.0,Teen,Entertainment,"July 15, 2018",0.0,0.0,0.0,0.0,0.0,July,15,2018
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442.0,6963.2,100000,Paid,4.99,Everyone,Business,"March 25, 2018",0.0,0.0,0.0,0.0,0.0,March,25,2018
Twitter,NEWS_AND_MAGAZINES,4.3,11667403.0,22032.55340623291,500000000,Free,0.0,Mature 17+,News & Magazines,"August 6, 2018",0.0,0.0,0.0,0.0,0.0,August,6,2018
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17712922.0,40960.0,500000000,Free,0.0,Teen,Communication,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
UFC,SPORTS,4.0,30840.0,22032.55340623291,1000000,Free,0.0,Teen,Sports,"May 22, 2018",0.0,0.0,0.0,0.0,0.0,May,22,2018
US Open Tennis Championships 2018,SPORTS,4.0,9971.0,33792.0,1000000,Free,0.0,Everyone,Sports,"June 5, 2018",0.0,0.0,0.0,0.0,0.0,June,5,2018
USA TODAY,NEWS_AND_MAGAZINES,4.1,49259.0,22032.55340623291,5000000,Free,0.0,Everyone 10+,News & Magazines,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
Udacity - Lifelong Learning,EDUCATION,4.3,22384.0,17408.0,1000000,Free,0.0,Everyone,Education,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
Udemy - Online Courses,EDUCATION,4.5,99020.0,18432.0,1000000,Free,0.0,Everyone,Education,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
United Airlines,TRAVEL_AND_LOCAL,3.5,30447.0,81920.0,5000000,Free,0.0,Everyone,Travel & Local,"July 20, 2018",0.0,0.0,0.0,0.0,0.0,July,20,2018
VH1,ENTERTAINMENT,4.1,27424.0,17408.0,1000000,Free,0.0,Teen,Entertainment,"July 8, 2018",0.0,0.0,0.0,0.0,0.0,July,8,2018
Vaniday - Beauty Booking App,LIFESTYLE,3.6,1067.0,22032.55340623291,100000,Free,0.0,Everyone,Lifestyle,"March 20, 2018",0.0,0.0,0.0,0.0,0.0,March,20,2018
Vargo Anesthesia Mega App,MEDICAL,4.6,92.0,32768.0,1000,Paid,79.99,Everyone,Medical,"June 18, 2018",0.0,0.0,0.0,0.0,0.0,June,18,2018
Viber Messenger,COMMUNICATION,4.3,11334973.0,22032.55340623291,500000000,Free,0.0,Everyone,Communication,"July 18, 2018",0.0,0.0,0.0,0.0,0.0,July,18,2018
Viki: Asian TV Dramas & Movies,ENTERTAINMENT,4.3,407719.0,22032.55340623291,10000000,Free,0.0,Teen,Entertainment,"July 27, 2018",0.0,0.0,0.0,0.0,0.0,July,27,2018
Walmart,SHOPPING,4.4,441473.0,22032.55340623291,10000000,Free,0.0,Everyone,Shopping,"July 30, 2018",0.0,0.0,0.0,0.0,0.0,July,30,2018
Wanelo Shopping,SHOPPING,4.6,94205.0,6656.0,1000000,Free,0.0,Everyone,Shopping,"June 13, 2018",0.0,0.0,0.0,0.0,0.0,June,13,2018
WatchESPN,SPORTS,4.1,288809.0,6758.4,10000000,Free,0.0,Everyone,Sports,"September 27, 2017",0.0,0.0,0.0,0.0,0.0,September,27,2017
WeChat,COMMUNICATION,4.2,5387446.0,22032.55340623291,100000000,Free,0.0,Everyone,Communication,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
Weight Loss Running by Verv,HEALTH_AND_FITNESS,4.5,27396.0,60416.0,1000000,Free,0.0,Mature 17+,Health & Fitness,"July 16, 2018",0.0,0.0,0.0,0.0,0.0,July,16,2018
Weight Loss Tracker - RecStyle,HEALTH_AND_FITNESS,4.4,20547.0,5836.8,1000000,Free,0.0,Everyone,Health & Fitness,"November 29, 2017",0.0,0.0,0.0,0.0,0.0,November,29,2017
Weight Watchers Mobile,HEALTH_AND_FITNESS,4.2,270294.0,59392.0,5000000,Free,0.0,Everyone,Health & Fitness,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
Wells Fargo Daily Change,FINANCE,4.2,283.0,5120.0,100000,Free,0.0,Everyone,Finance,"April 26, 2018",0.0,0.0,0.0,0.0,0.0,April,26,2018
WhatsApp Messenger,COMMUNICATION,4.4,69119316.0,22032.55340623291,1000000000,Free,0.0,Everyone,Communication,"August 3, 2018",0.0,0.0,0.0,0.0,0.0,August,3,2018
Wheretoget: Shop in style,LIFESTYLE,4.1,6808.0,12288.0,500000,Free,0.0,Teen,Lifestyle,"June 5, 2017",0.0,0.0,0.0,0.0,0.0,June,5,2017
Wish - Shopping Made Fun,SHOPPING,4.5,6211039.0,15360.0,100000000,Free,0.0,Everyone,Shopping,"August 3, 2018",0.0,0.0,0.0,0.0,0.0,August,3,2018
Wordscapes,GAME,4.8,230727.0,89088.0,10000000,Free,0.0,Everyone,Word,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
Workout Trainer: fitness coach,HEALTH_AND_FITNESS,4.2,100406.0,22032.55340623291,10000000,Free,0.0,Everyone,Health & Fitness,"June 30, 2018",0.0,0.0,0.0,0.0,0.0,June,30,2018
Wunderlist: To-Do List & Tasks,PRODUCTIVITY,4.6,404610.0,22032.55340623291,10000000,Free,0.0,Everyone,Productivity,"April 6, 2018",0.0,0.0,0.0,0.0,0.0,April,6,2018
Xero Accounting Software,BUSINESS,3.5,2111.0,22032.55340623291,100000,Free,0.0,Everyone,Business,"July 30, 2018",0.0,0.0,0.0,0.0,0.0,July,30,2018
Yahoo Fantasy Sports - #1 Rated Fantasy App,SPORTS,4.2,277904.0,22032.55340623291,5000000,Free,0.0,Mature 17+,Sports,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
"Yahoo Sports - scores, stats, news, & highlights",SPORTS,4.5,32386.0,19456.0,1000000,Free,0.0,Everyone,Sports,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
YouCam Perfect - Selfie Photo Editor,PHOTOGRAPHY,4.5,1579287.0,22032.55340623291,100000000,Free,0.0,Everyone,Photography,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
ZALORA Fashion Shopping,SHOPPING,4.2,142512.0,15360.0,10000000,Free,0.0,Everyone,Shopping,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
ZEDGEâ„¢ Ringtones & Wallpapers,PERSONALIZATION,4.6,6466641.0,22032.55340623291,100000000,Free,0.0,Teen,Personalization,"July 19, 2018",0.0,0.0,0.0,0.0,0.0,July,19,2018
ZOOM Cloud Meetings,BUSINESS,4.4,31614.0,37888.0,10000000,Free,0.0,Everyone,Business,"July 20, 2018",0.0,0.0,0.0,0.0,0.0,July,20,2018
Zappos â€“ Shoe shopping made simple,SHOPPING,4.5,44588.0,20480.0,5000000,Free,0.0,Everyone,Shopping,"July 12, 2018",0.0,0.0,0.0,0.0,0.0,July,12,2018
Zenefits,BUSINESS,4.2,296.0,14336.0,50000,Free,0.0,Everyone,Business,"June 15, 2018",0.0,0.0,0.0,0.0,0.0,June,15,2018
Zillow: Find Houses for Sale & Apartments for Rent,HOUSE_AND_HOME,4.5,417907.0,34816.0,10000000,Free,0.0,Everyone,House & Home,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
"busuu: Learn Languages - Spanish, English & More",EDUCATION,4.3,206532.0,21504.0,10000000,Free,0.0,Everyone 10+,Education,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
eBay: Buy & Sell this Summer - Discover Deals Now!,SHOPPING,4.4,2788923.0,22032.55340623291,100000000,Free,0.0,Teen,Shopping,"July 30, 2018",0.0,0.0,0.0,0.0,0.0,July,30,2018
fred's Pharmacy,MEDICAL,3.0,315.0,22528.0,100000,Free,0.0,Everyone,Medical,"October 10, 2017",0.0,0.0,0.0,0.0,0.0,October,10,2017
free video calls and chat,COMMUNICATION,4.2,594728.0,22032.55340623291,50000000,Free,0.0,Everyone,Communication,"July 19, 2018",0.0,0.0,0.0,0.0,0.0,July,19,2018
iBP Blood Pressure,MEDICAL,4.4,578.0,704.0,10000,Paid,0.99,Everyone,Medical,"November 30, 2014",0.0,0.0,0.0,0.0,0.0,November,30,2014
"iPair-Meet, Chat, Dating",DATING,4.5,182986.0,78848.0,5000000,Free,0.0,Mature 17+,Dating,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
imo beta free calls and text,COMMUNICATION,4.3,659395.0,11264.0,100000000,Free,0.0,Everyone,Communication,"June 7, 2018",0.0,0.0,0.0,0.0,0.0,June,7,2018
imo free video calls and chat,COMMUNICATION,4.3,4785892.0,11264.0,500000000,Free,0.0,Everyone,Communication,"June 8, 2018",0.0,0.0,0.0,0.0,0.0,June,8,2018
imo free video calls and chat,COMMUNICATION,4.3,4785988.0,11264.0,500000000,Free,0.0,Everyone,Communication,"June 8, 2018",0.0,0.0,0.0,0.0,0.0,June,8,2018
join.me - Simple Meetings,BUSINESS,4.0,6989.0,22032.55340623291,1000000,Free,0.0,Everyone,Business,"July 16, 2018",0.0,0.0,0.0,0.0,0.0,July,16,2018
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,3.8,5164.0,25600.0,100000,Free,0.0,Mature 17+,Dating,"July 24, 2018",0.0,0.0,0.0,0.0,0.0,July,24,2018
mySugr: the blood sugar tracker made just for you,MEDICAL,4.6,21189.0,36864.0,1000000,Free,0.0,Everyone,Medical,"August 6, 2018",0.0,0.0,0.0,0.0,0.0,August,6,2018
slither.io,GAME,4.4,5235294.0,22032.55340623291,100000000,Free,0.0,Everyone,Action,"November 14, 2017",0.0,0.0,0.0,0.0,0.0,November,14,2017
"theScore: Live Sports Scores, News, Stats & Videos",SPORTS,4.4,133825.0,34816.0,10000000,Free,0.0,Everyone 10+,Sports,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
"theScore: Live Sports Scores, News, Stats & Videos",SPORTS,4.4,133833.0,34816.0,10000000,Free,0.0,Everyone 10+,Sports,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
trivago: Hotels & Travel,TRAVEL_AND_LOCAL,4.2,219848.0,22032.55340623291,50000000,Free,0.0,Everyone,Travel & Local,"August 2, 2018",0.0,0.0,0.0,0.0,0.0,August,2,2018
